"FacilityID","Name","Street","City","State","ZipCode","Geo","YelpID","YelpPhone","YelpCategories","YelpURL","YelpImageUrl","YelpRaiting","YelpReviewCount","Score","InspectionDate"
2800271,"University Ave Church","1903 UNIVERSITY AVE","AUSTIN","TX",78705,"(30.281277418060526, -97.73958933847925)","Not Found","","","","","","",96,"2017-07-20"
2800031,"Upper Crust Bakery","4508 BURNET RD","AUSTIN","TX",78756,"(30.315833486894814, -97.7415992868738)","OPFAHCE8zPxWf7-I132h1g","+15124670102","Bakeries,Desserts","https://www.yelp.com/biz/upper-crust-bakery-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media1.fl.yelpcdn.com/bphoto/Hj3-nhRYu8d8kmbCljzB0A/o.jpg",4,491,86,"2018-09-12"
2800037,"Short Stop","3811 N IH","AUSTIN","TX",78722,"(30.294981391833186, -97.71911561050668)","3Yw12_2n2DKE-uAsJimY2w","+15124599949","Burgers","https://www.yelp.com/biz/short-stop-austin-9?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","",2,1,96,"2018-07-18"
2800563,"Hula Hut","3825 LAKE AUSTIN BLVD","AUSTIN","TX",78703,"(30.295236881390323, -97.78423785198352)","aq0aE997rfi6NMTuTcoyNQ","+15124764852","Tex-Mex,Mexican","https://www.yelp.com/biz/hula-hut-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media3.fl.yelpcdn.com/bphoto/ywAl-50xV7KyjJZx-gUplA/o.jpg",4,1354,86,"2018-08-14"
2800040,"Tarry House Restaurant","3006 BOWMAN AVE","AUSTIN","TX",78703,"(30.299622752024213, -97.77072543876929)","sD_bIU2P4zAHkrvVOphYsg","+15124728366","Tennis","https://www.yelp.com/biz/tarry-house-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media4.fl.yelpcdn.com/bphoto/7KVvFWYZwRjimBJh7E7-Fw/o.jpg",4,2,84,"2018-03-29"
2800906,"Seek & Say Enrichment Day Care","6123 FM 969 RD","AUSTIN","TX",78725,"(30.2848232976193, -97.66322486558337)","Not Found","","","","","","",100,"2018-08-16"
11172513,"Opera Cafe","11215 S IH","AUSTIN","TX",78747,"(30.137769613340634, -97.79590052375228)","Not Found","","","","","","",100,"2018-06-19"
2801168,"Randall's #2490-Bakery","10900 RESEARCH BLVD","AUSTIN","TX",78759,"(30.401504470501333, -97.74678509027345)","Not Found","","","","","","",98,"2018-04-19"
2801294,"Starbuck's Coffee  #6328","4400 N LAMAR BLVD","AUSTIN","TX",78756,"(30.312395185659074, -97.73886163070704)","Not Found","","","","","","",96,"2018-10-05"
2800681,"Kocurek Elementary","9800 CURLEW DR","AUSTIN","TX",78748,"(30.17797499550121, -97.83410373879461)","Not Found","","","","","","",100,"2018-09-04"
2801218,"State Theatre","719 CONGRESS AVE","AUSTIN","TX",78701,"(30.269569051735264, -97.74182894036315)","Not Found","","","","","","",95,"2018-06-29"
2801149,"Omni Austin","701 BRAZOS ST","AUSTIN","TX",78701,"(30.26889547859411, -97.74052566918266)","Not Found","","","","","","",82,"2018-08-14"
2802103,"Wal-Mart #3569 (Deli/Bakery)","12900 N IH","AUSTIN","TX",78753,"(30.413588266467418, -97.67569191403284)","Not Found","","","","","","",91,"2018-07-16"
2800044,"HEB Food Store #8, Bakery & Deli","2400 S CONGRESS AVE","AUSTIN","TX",78704,"(30.238296786091304, -97.75459339056971)","Not Found","","","","","","",97,"2018-07-03"
2800067,"Sigma Phi Epsilon","2500 PEARL ST","AUSTIN","TX",78705,"(30.28950112804817, -97.74679816824114)","Not Found","","","","","","",86,"2018-04-16"
2800783,"Starbuck's Coffee #689","600 CONGRESS AVE","AUSTIN","TX",78701,"(30.268503244150647, -97.74311863817286)","Not Found","","","","","","",92,"2018-05-03"
2802014,"Community of Christ","2132 BLUEBONNET LN","AUSTIN","TX",78704,"(30.24938088590839, -97.77601152606321)","Not Found","","","","","","",93,"2018-07-08"
2800289,"William Elementary","500 MAIRO ST","AUSTIN","TX",78748,"(30.181013450644546, -97.79133030239174)","Not Found","","","","","","",100,"2018-09-04"
2800242,"Reagan High School","7400 BERKMAN DR","AUSTIN","TX",78752,"(30.327807364603174, -97.6877183122304)","Not Found","","","","","","",99,"2018-09-11"
2800437,"Houston Elementary","5409 PONCIANA DR","AUSTIN","TX",78744,"(30.197790624040103, -97.75517171203093)","Not Found","","","","","","",100,"2018-04-27"
2801249,"Hart Elementary School","8301 FURNESS DR","AUSTIN","TX",78753,"(30.342863792291947, -97.68931968476019)","Not Found","","","","","","",100,"2018-08-23"
2800680,"Lake Travis High School","3322 S FM 620 RD","LAKEWAY","TX",78738,"(30.327976332988783, -97.96673283846016)","Not Found","","","","","","",89,"2018-04-09"
2802113,"McDonalds #26418","15900 N IH","AUSTIN","TX",78728,"(30.456599166549967, -97.66767519559893)","Not Found","","","","","","",97,"2018-04-06"
2800648,"Westgate Lane (Bar)","2701 W WILLIAM CANNON DR","AUSTIN","TX",78745,"(30.20686839629306, -97.81650111725729)","Not Found","","","","","","",99,"2018-08-16"
2802053,"Spring Hill Suites","12520 N IH","AUSTIN","TX",78753,"(30.40629964803589, -97.6763145223391)","Not Found","","","","","","",91,"2018-07-02"
2802629,"Little Country Diner","22000 W SH","SPICEWOOD","TX",78669,"(30.36627153171201, -98.07122393164751)","Not Found","","","","","","",95,"2018-08-07"
2800259,"Sims Elementary","1203 SPRINGDALE RD","AUSTIN","TX",78721,"(30.279335056172307, -97.68653326964784)","Not Found","","","","","","",99,"2018-09-13"
2800327,"Martin Jr High","1601 HASKELL ST","AUSTIN","TX",78702,"(30.252854496060696, -97.73012655102096)","Not Found","","","","","","",99,"2018-10-05"
11258198,"GM Cafe","717 E PARMER LN","AUSTIN","TX",78753,"(30.401884255977723, -97.6602206764281)","Not Found","","","","","","",97,"2018-09-11"
2800158,"Cook Elementary School","1511 CRIPPLE CREEK DR","AUSTIN","TX",78758,"(30.37825662348173, -97.70438365881911)","Not Found","","","","","","",100,"2018-09-13"
2801793,"Mr. Gatti's","3305 N FM 620 RD","AUSTIN","TX",78734,"(30.39412379477707, -97.9338266847851)","Not Found","","","","","","",91,"2018-09-13"
2800614,"Cunningham Elementary School","2200 BERKELEY AVE","AUSTIN","TX",78745,"(30.210112079819417, -97.8062225823184)","Not Found","","","","","","",96,"2018-05-16"
2801217,"Kappa Sigma Lodge","1002 W 26TH ST","AUSTIN","TX",78705,"(30.291198299606865, -97.7483925740584)","Not Found","","","","","","",100,"2018-09-17"
2800273,"Pi Beta Phi Sorority","2300 SAN ANTONIO ST","AUSTIN","TX",78705,"(30.28686191030941, -97.7429888483015)","Not Found","","","","","","",94,"2018-05-07"
2800205,"St. Paul Lutheran","3501 RED RIVER ST","AUSTIN","TX",78705,"(30.29419098564027, -97.72438928760572)","Not Found","","","","","","",92,"2018-10-08"
2800137,"Dawson Elementary","3001 S 1ST ST","AUSTIN","TX",78704,"(30.235167604016457, -97.7638491586258)","Not Found","","","","","","",99,"2018-09-28"
2800164,"Lanier High School","1201 PAYTON GIN RD","AUSTIN","TX",78758,"(30.36134731480914, -97.70851272598563)","Not Found","","","","","","",93,"2018-05-08"
10007100,"Lamar Food Mart","8545 N LAMAR BLVD","AUSTIN","TX",78753,"(30.3538968971264, -97.70409874848808)","Not Found","","","","","","",82,"2018-06-12"
2800199,"LBJ High School","7309 LAZY CREEK DR","AUSTIN","TX",78724,"(30.314125934117673, -97.65702328119725)","Not Found","","","","","","",99,"2018-04-20"
2800512,"Generations / Night Care","8203 SAM RAYBURN DR","AUSTIN","TX",78753,"(30.346309885629367, -97.69973832348411)","Not Found","","","","","","",96,"2018-05-14"
2800569,"Jollyville Elementary","6720 CORPUS CHRISTI DR","AUSTIN","TX",78729,"(30.444491483363816, -97.75000867922978)","Not Found","","","","","","",100,"2018-04-23"
2800260,"HEB Food Store #218 Deli & Bakery","12407 N MOPAC EXPY","AUSTIN","TX",78758,"(30.417462176714007, -97.70284422069835)","Not Found","","","","","","",99,"2018-03-28"
2800599,"Harris Elementary","1711 WHELESS LN","AUSTIN","TX",78723,"(30.314737579299813, -97.6910520891714)","Not Found","","","","","","",100,"2018-09-13"
2800331,"Mendez Middle School","5106 VILLAGE SQUARE DR","AUSTIN","TX",78744,"(30.18848113614721, -97.74346957765349)","Not Found","","","","","","",99,"2018-09-20"
2803279,"La Quinta Inn #0530","5812 N IH","AUSTIN","TX",78751,"(30.319838431282342, -97.70796324574577)","Not Found","","","","","","",99,"2018-09-14"
2801813,"Sarku Japan","2901 S CAPITAL OF TEXAS HWY","AUSTIN","TX",78746,"(30.257892799713936, -97.80700989442836)","M1pN60ruY204Fx3z37ZxPw","+15123299253","Japanese","https://www.yelp.com/biz/sarku-japan-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media4.fl.yelpcdn.com/bphoto/dQr4VDZyk3pIRPBtFNh8jw/o.jpg",4,43,80,"2018-07-20"
2801485,"Subway","6425 S IH","AUSTIN","TX",78744,"(30.19037559125268, -97.76798241770963)","Not Found","","","","","","",92,"2018-07-18"
2801390,"Safe Place School &CDC","19454","AUSTIN","TX",78741,"","Not Found","","","","","","",92,"2018-09-10"
2802223,"Wing's N More","1200 W HOWARD LN","AUSTIN","TX",78660,"(30.42419546472851, -97.66974604510119)","Not Found","","","","","","",79,"2018-04-25"
2802805,"Papa John's #928","11521 N FM 620 RD","AUSTIN","TX",78726,"(30.45466085812116, -97.82589582349742)","Not Found","","","","","","",99,"2018-08-31"
2803239,"WL - Jason's Deli","3300 BEE CAVES RD","WEST LAKE HILLS","TX",78746,"(30.27573679197241, -97.80016632152368)","Not Found","","","","","","",93,"2018-09-14"
10519117,"Family Dollar","1508 MONTOPOLIS DR","AUSTIN","TX",78741,"(30.22849717712944, -97.70141393270882)","Not Found","","","","","","",90,"2018-08-10"
2803361,"New World Produce","4543 DOSS RD","AUSTIN","TX",78734,"(30.407677381118315, -97.93017038530515)","Not Found","","","","","","",100,"2018-09-24"
2803248,"WL - Mother Teresa House","903 S CAPITAL OF TEXAS HWY","WEST LAKE HILLS","TX",78746,"(30.28907210552376, -97.82610557828575)","Not Found","","","","","","",100,"2018-04-10"
2803254,"WL - Waterfall Restaurant @ Westlake Surgical","5656 BEE CAVES RD","WEST LAKE HILLS","TX",78746,"(30.294981325814927, -97.8244420407277)","Not Found","","","","","","",79,"2018-06-13"
2803256,"Hill Country Counseling Center","1433 FAIRFIELD DR","AUSTIN","TX",78758,"(30.360370519744865, -97.71589420149446)","Not Found","","","","","","",97,"2018-05-22"
